Date,Description,Credit,Debit,Balance
30/06/2017,Transfer to G C BELL - Receipt 439300 To 484799 24243293 - Transfer to G C BELL - Receipt 439300 To 484799 24243293,,-500.00,1915.10
27/06/2017,QSUPER FRIP      FRIP PENS070625  - Receipt 128749,532.00,,2415.10
27/06/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 151749In POINT LOOKOU Date 25 Jun 2017 Card 462263xxxxxx4176,,-48.07,1883.10
22/06/2017,CAPALABA PRODUCE - Visa Purchase - Receipt 141507In CAPALABA Date 20 Jun 2017 Card 462263xxxxxx4176,,-9.95,1931.17
22/06/2017,CSC              60640077PS NETT  - Receipt 103767,821.58,,1941.12
21/06/2017,STRADDIE ROADHOUSE Q - Visa Purchase - Receipt 185297In POINT LOOKOU Date 19 Jun 2017 Card 462263xxxxxx4176,,-99.25,1119.54
20/06/2017,CLEVELAND TOBACCO      CL EVELAND    Q - EFTPOS Purchase - Receipt 24349Date 20 Jun 2017 Time 9:08AM Card 462263xxxxxx4176,,-34.30,1218.79
11/06/2017,CALTEX MARYBOROUGH - Visa Purchase - Receipt 159887In MARYBOROUGH Date 09 Jun 2017 Card 462263xxxxxx4176,,-79.29,1253.09
10/06/2017,IGA AGNES WATERS - Visa Purchase - Receipt 168192In AGNES WATER Date 07 Jun 2017 Card 462263xxxxxx4176,,-20.06,1332.38
10/06/2017,Orchid Floral Design - Visa Purchase - Receipt 168191In CHILDERS Date 08 Jun 2017 Card 462263xxxxxx4176,,-41.30,1352.44
09/06/2017,ATM Rebate - Receipt 8307We paid the ATM fee for you!,2.00,,1393.74
09/06/2017,SUNCORP BANK CLEVELAND QL - Receipt 8307ATM owner fee of $2.00 charged by SUNCORP BANK CLEVELAND QLDate 09 Jun 2017 Time 1:20PM Card 462263xxxxxx4176,,-302.00,1391.74
08/06/2017,ASPIRATIONAL HOSPITA CHILDERS - EFTPOS Purchase - Receipt 16101Date 08 Jun 2017 Time 6:20PM Card 462263xxxxxx4176,,-115.00,1693.74
08/06/2017,CARNARVON GORGE WILD - Visa Purchase - Receipt 127516In ROLLESTON Date 06 Jun 2017 Card 462263xxxxxx4176,,-30.00,1808.74
08/06/2017,TMR REG RENEW 48272           10249312514707 - BPAY Bill Payment - Receipt 9850 To TMR REG RENEW 48272 10249312514707,,-489.45,1838.74
08/06/2017,CSC              60640077PS NETT  - Receipt 105389,821.58,,2328.19
07/06/2017,Agnes Water Bea3503646 AG NES WATER04 - EFTPOS Purchase - Receipt 6418Date 07 Jun 2017 Time 6:15PM Card 462263xxxxxx4176,,-160.00,1506.61
07/06/2017,ROLLESTON GENERAL ST ROLLESTON - EFTPOS Purchase - Receipt 11392Date 07 Jun 2017 Time 12:33PM Card 462263xxxxxx4176,,-97.09,1666.61
06/06/2017,BP BLACKSOIL 1463 - Visa Purchase - Receipt 188696In BLACKSOIL Date 04 Jun 2017 Card 462263xxxxxx4176,,-137.96,1763.70
06/06/2017,SING'S ASIAN KITCHEN - Visa Purchase - Receipt 188695In COORPAROO Date 03 Jun 2017 Card 462263xxxxxx4176,,-70.60,1901.66
04/06/2017,STARLIGHT MOTOR INN ROMA - EFTPOS Purchase - Receipt 278Date 04 Jun 2017 Time 3:41PM Card 462263xxxxxx4176,,-120.00,1972.26
31/05/2017,ATM Rebate - Receipt 6368We paid the ATM fee for you!,2.80,,2092.26
31/05/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 6368ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 31 May 2017 Time 3:18PM Card 462263xxxxxx4176,,-202.80,2089.46
31/05/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 135301In POINT LOOKOU Date 29 May 2017 Card 462263xxxxxx4176,,-33.22,2292.26
30/05/2017,JOHN TRUMAN & JENNY - Visa Purchase - Receipt 135160In POINT LOOKOU Date 28 May 2017 Card 462263xxxxxx4176,,-50.45,2325.48
29/05/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 173465In POINT LOOKOU Date 27 May 2017 Card 462263xxxxxx4176,,-30.15,2375.93
27/05/2017,STRADDIE ROADHOUSE Q - Visa Purchase - Receipt 106322In POINT LOOKOU Date 25 May 2017 Card 462263xxxxxx4176,,-96.36,2406.08
26/05/2017,QSUPER FRIP      FRIP PENS070625  - Receipt 111630,532.00,,2502.44
25/05/2017,Transfer to G C BELL - Receipt 317694 To 484799 24243293 - Transfer to G C BELL - Receipt 317694 To 484799 24243293,,-2000.00,1970.44
25/05/2017,CSC              60640077PS NETT  - Receipt 102388,821.58,,3970.44
19/05/2017,JOHN TRUMAN & JENNY - Visa Purchase - Receipt 101688In POINT LOOKOU Date 17 May 2017 Card 462263xxxxxx4176,,-19.60,3148.86
17/05/2017,ATM Rebate - Receipt 5933We paid the ATM fee for you!,2.80,,3168.46
17/05/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 5933ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 17 May 2017 Time 5:31PM Card 462263xxxxxx4176,,-202.80,3165.66
16/05/2017,STRADDIE ROADHOUSE Q - Visa Purchase - Receipt 131056In POINT LOOKOU Date 13 May 2017 Card 462263xxxxxx4176,,-91.54,3368.46
11/05/2017,JOHN TRUMAN & JENNY - Visa Purchase - Receipt 121571In POINT LOOKOU Date 09 May 2017 Card 462263xxxxxx4176,,-21.90,3460.00
11/05/2017,CSC              60640077PS NETT  - Receipt 108763,821.58,,3481.90
09/05/2017,ATM Rebate - Receipt 5730We paid the ATM fee for you!,2.80,,2660.32
09/05/2017,DCP-Foodworks Point LooSt radbroke Is0 - Receipt 5730ATM owner fee of $2.80 charged by DCP-Foodworks Point LooSt radbroke Is0Date 09 May 2017 Time 7:22AM Card 462263xxxxxx4176,,-202.80,2657.52
07/05/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 129374In POINT LOOKOU Date 05 May 2017 Card 462263xxxxxx4176,,-37.95,2860.32
06/05/2017,TMR REG RENEW 48298           10245850093286 - BPAY Bill Payment - Receipt 535867 To TMR REG RENEW 48298 10245850093286,,-117.40,2898.27
03/05/2017,Invoice 18742 - Transfer to Dr V Swainsbury - Receipt 507237 To 084004 846163911,,-100.00,3015.67
30/04/2017,WHALES WAY PT LOOKOUT - Visa Purchase - Receipt 132805In POINT LOOKOU Date 27 Apr 2017 Card 462263xxxxxx4176,,-171.00,3115.67
29/04/2017,ATM Rebate - Receipt 662588We paid the ATM fee for you!,2.50,,3286.67
29/04/2017,STRADBROKE RSL DUNWICH - Receipt 662588ATM owner fee of $2.50 charged by STRADBROKE RSL DUNWICHDate 29 Apr 2017 Time 6:45PM Card 462263xxxxxx4176,,-242.50,3284.17
29/04/2017,CAPALABA PRODUCE - Visa Purchase - Receipt 177935In CAPALABA Date 27 Apr 2017 Card 462263xxxxxx4176,,-28.90,3526.67
29/04/2017,BAC PARKING - Visa Purchase - Receipt 177934In ASCOT Date 27 Apr 2017 Card 462263xxxxxx4176,,-16.00,3555.57
29/04/2017,BOBS SHOP FOODWORKS - Visa Purchase - Receipt 177933In POINT LOOKOU Date 27 Apr 2017 Card 462263xxxxxx4176,,-31.35,3571.57
28/04/2017,LIQUORLAND 6666 - Visa Purchase - Receipt 130965In ASCOT Date 27 Apr 2017 Card 462263xxxxxx4176,,-76.00,3602.92
28/04/2017,JOHN TRUMAN & JENNY - Visa Purchase - Receipt 130964In POINT LOOKOU Date 26 Apr 2017 Card 462263xxxxxx4176,,-24.50,3678.92
27/04/2017,QSUPER FRIP      FRIP PENS070625  - Receipt 126218,532.00,,3703.42
27/04/2017,CSC              60640077PS NETT  - Receipt 102689,821.58,,3171.42
25/04/2017,STRADDIE BAKERY - Visa Purchase - Receipt 136285In DUNWICH Date 22 Apr 2017 Card 462263xxxxxx4176,,-10.00,2349.84
25/04/2017,STRADDIE ROADHOUSE Q - Visa Purchase - Receipt 136284In POINT LOOKOU Date 22 Apr 2017 Card 462263xxxxxx4176,,-96.74,2359.84
23/04/2017,ATM Rebate - Receipt 5125We paid the ATM fee for you!,2.80,,2456.58
